Rule,y,ymax,ymin,fill,type
Plurality,0.38233333333333336,0.3919650561010227,0.372701610565644,Voting,Plurality
Plurality w/ Runoff,0.49883333333333335,0.5068178741429376,0.4908487925237291,Voting,Plurality w/ Runoff
Borda,0.38283333333333336,0.3932996956902486,0.37236697097641813,Voting,Borda
Copeland,0.398,0.4069540569622408,0.38904594303775925,Voting,Copeland
IRV,0.38366666666666666,0.3936899528610022,0.3736433804723311,Voting,IRV
Maximin,0.39316666666666666,0.40387737660973616,0.38245595672359717,Voting,Maximin
Rank-Rank,0.2,0.307492033418896,0.0925079665811041,SPVoting,SPVoting
Rank-Top,0.377777777777778,0.468783691761072,0.286771863794484,SPVoting,SPVoting
Rank-None,0.666666666666667,0.75457830096578,0.578755032367553,SPVoting,SPVoting
