treatment,y,ymin,ymax,type
Rank-Rank,0.2,0.0925079665811041,0.307492033418896,SPVoting
Rank-Top,0.377777777777778,0.286771863794484,0.468783691761072,SPVoting
Rank-None,0.666666666666667,0.578755032367553,0.75457830096578,SPVoting
Top-Rank,0.311111111111111,0.200044297412495,0.422177924809727,SPVoting
Top-Top,0.422222222222222,0.316637489309945,0.527806955134499,SPVoting
Top-None,0.733333333333333,0.645211308532096,0.821455358134571,SPVoting
Top-Top,0.6683333333333333,0.6414795807925998,0.6951870858740669,Prediction
Top-Rank,0.6866666666666666,0.6602100813207795,0.7131232520125538,Prediction
Rank-Top,0.6966666666666667,0.6704468233026292,0.7228865100307041,Prediction
Rank-Rank,0.6941666666666667,0.6678862773113999,0.7204470560219335,Prediction
Top-Top,0.6608333333333334,0.6338304549372616,0.6878362117294051,Vote
Top-Rank,0.68,0.6533935486637058,0.7066064513362943,Vote
Rank-Top,0.6591666666666667,0.6321316800999052,0.6862016532334282,Vote
Rank-Rank,0.675,0.6482852524013069,0.7017147475986932,Vote
Top-None,NA,NA,NA,Prediction
Top-None,NA,NA,NA,Vote
Rank-None,NA,NA,NA,Prediction
Rank-None,NA,NA,NA,Vote
